CIF,Account Name,Region,Age,Sex,CLV_Predicted,Lookalike_Score,Segment_Label
CIF01008661,Customer_8662,Oromia,23,F,130587.57,0.9397562071554969,Mid-Value Growth
CIF01007524,Customer_7525,Oromia,33,F,175261.45,0.9397113811094393,Dormant Risk
CIF01008570,Customer_8571,Tigray,31,M,147706.03,0.9395004739378311,High-CLV Active
CIF01005018,Customer_5019,Amhara,48,M,123008.46,0.9393972193939514,High-CLV Active
CIF01001576,Customer_1577,Oromia,29,M,156149.27,0.9393905421091193,Cross-Sell Ready
CIF01004529,Customer_4530,Amhara,49,M,207215.75,0.9392685850717586,Cross-Sell Ready
CIF01002758,Customer_2759,SNNPR,30,M,167401.56,0.9392405415797377,Cross-Sell Ready
CIF01001986,Customer_1987,Addis Ababa,28,F,148112.39,0.939235932180789,Champions
CIF01008478,Customer_8479,Oromia,42,F,197608.16,0.9390782110457048,Mid-Value Growth
CIF01008323,Customer_8324,Amhara,43,F,168819.78,0.9390595169175052,Mid-Value Growth
CIF01004383,Customer_4384,Dire Dawa,31,F,170093.34,0.9389263972822022,Mid-Value Growth
CIF01008097,Customer_8098,Oromia,32,M,163757.42,0.9388443221280769,Cross-Sell Ready
CIF01003963,Customer_3964,Addis Ababa,35,F,265796.16,0.9388373102864817,Dormant Risk
CIF01007498,Customer_7499,Tigray,28,M,123691.375,0.938749507117556,Champions
CIF01007338,Customer_7339,Addis Ababa,18,F,203774.38,0.938738459096751,Champions
CIF01001980,Customer_1981,Addis Ababa,40,F,119556.25,0.9386248358561744,Champions
CIF01001718,Customer_1719,SNNPR,39,F,174122.75,0.9385769980065948,Champions
CIF01004571,Customer_4572,Tigray,21,F,242538.45,0.9385748880629209,Dormant Risk
CIF01004572,Customer_4573,Sidama,24,M,310716.1,0.9385578848089718,High-CLV Active
CIF01006085,Customer_6086,Addis Ababa,21,F,368334.25,0.9381868093787792,Dormant Risk
CIF01006633,Customer_6634,Oromia,39,M,114830.914,0.9381531488632869,Cross-Sell Ready
CIF01001799,Customer_1800,Oromia,28,M,215089.56,0.9381443739371313,High-CLV Active
CIF01002747,Customer_2748,Addis Ababa,39,F,152619.2,0.937894241556995,Mid-Value Growth
CIF01001348,Customer_1349,Addis Ababa,18,M,147755.14,0.9377877327421512,Cross-Sell Ready
CIF01001577,Customer_1578,Amhara,23,F,334410.1,0.9377581446128005,Champions
CIF01007798,Customer_7799,Oromia,28,F,173329.03,0.9376872521542039,Dormant Risk
CIF01008499,Customer_8500,Oromia,54,F,950597.4,0.9376367171757342,Mid-Value Growth
CIF01007763,Customer_7764,Tigray,29,F,131051.26,0.9376178237661501,Mid-Value Growth
CIF01002738,Customer_2739,Oromia,56,M,153710.12,0.9375972316424884,High-CLV Active
CIF01005554,Customer_5555,Benishangul-Gumuz,19,F,136990.17,0.9375025682049003,Mid-Value Growth
CIF01007428,Customer_7429,Harari,32,F,135871.67,0.9374426034343799,Champions
CIF01008726,Customer_8727,Afar,18,M,166755.16,0.9374185555911614,Cross-Sell Ready
CIF01008850,Customer_8851,Addis Ababa,34,M,158114.77,0.937412332873105,High-CLV Active
CIF01006630,Customer_6631,SNNPR,30,F,189620.34,0.937265838149174,Dormant Risk
CIF01004700,Customer_4701,Addis Ababa,41,M,127467.3,0.9371871517621209,Cross-Sell Ready
CIF01002974,Customer_2975,Addis Ababa,18,F,160732.28,0.9371382731195332,Dormant Risk
CIF01004525,Customer_4526,Oromia,27,F,459488.4,0.9370893890586419,Champions
CIF01007380,Customer_7381,Tigray,34,F,146508.22,0.9370856141856948,Dormant Risk
CIF01004715,Customer_4716,Amhara,36,M,1843526.4,0.9370556013199814,High-CLV Active
CIF01005744,Customer_5745,Amhara,31,F,333402.47,0.9369829193950003,Champions
CIF01006775,Customer_6776,SNNPR,38,M,152456.0,0.9369737367952494,High-CLV Active
CIF01008516,Customer_8517,Benishangul-Gumuz,20,M,176069.34,0.9369457012604728,High-CLV Active
CIF01003653,Customer_3654,Afar,20,M,166656.83,0.9366847619223908,Cross-Sell Ready
CIF01004984,Customer_4985,Tigray,45,F,188128.12,0.936677013014913,Champions
CIF01009180,Customer_9181,Amhara,45,M,114647.68,0.9365207102783493,Champions
CIF01003964,Customer_3965,Amhara,43,M,126019.805,0.9364187456376661,Cross-Sell Ready
CIF01001449,Customer_1450,Oromia,49,F,188339.8,0.936415027140438,Mid-Value Growth
CIF01000430,Customer_431,Amhara,55,M,317607.47,0.9363909187029513,Champions
CIF01007570,Customer_7571,Harari,38,F,324395.53,0.936352047577749,Champions
CIF01005385,Customer_5386,SNNPR,39,M,273930.53,0.936238401306606,High-CLV Active
CIF01002354,Customer_2355,Addis Ababa,36,M,306106.22,0.9362037599848054,Champions
CIF01007661,Customer_7662,Addis Ababa,38,M,164208.47,0.936125562295037,High-CLV Active
CIF01002516,Customer_2517,Addis Ababa,26,F,215704.3,0.9360638641215692,Champions
CIF01004992,Customer_4993,Tigray,18,M,204150.69,0.9360605471673368,Champions
CIF01008443,Customer_8444,Addis Ababa,36,F,133735.69,0.9360195399935456,Dormant Risk
CIF01005407,Customer_5408,Addis Ababa,34,F,170497.6,0.9360150493962476,Champions
CIF01004013,Customer_4014,Oromia,26,M,372093.78,0.9359739483157099,Champions
CIF01003866,Customer_3867,Sidama,18,M,167414.11,0.9359413851262639,High-CLV Active
CIF01006737,Customer_6738,Addis Ababa,21,F,154476.42,0.9359188611040828,Mid-Value Growth
CIF01009636,Customer_9637,Amhara,51,F,143709.36,0.9358822283270414,Dormant Risk
CIF01007476,Customer_7477,SNNPR,33,F,318156.8,0.9358323855211,Mid-Value Growth
CIF01008875,Customer_8876,Oromia,36,M,123992.9,0.9357336064789579,High-CLV Active
CIF01000670,Customer_671,Dire Dawa,26,F,217783.03,0.9357181416611513,Champions
CIF01005692,Customer_5693,Addis Ababa,44,M,135818.08,0.935680746959688,High-CLV Active
CIF01003510,Customer_3511,Afar,65,M,473522.25,0.9355712421812817,Champions
CIF01000096,Customer_97,Afar,25,F,320221.84,0.93550832038427,Champions
CIF01001230,Customer_1231,Addis Ababa,48,F,137564.44,0.9354800662695814,Mid-Value Growth
CIF01002514,Customer_2515,Oromia,39,F,183535.08,0.9354524145215508,Dormant Risk
CIF01001818,Customer_1819,Amhara,36,M,132628.52,0.9354358569868159,Cross-Sell Ready
CIF01002814,Customer_2815,Addis Ababa,18,F,195288.0,0.9352835836179234,Dormant Risk
CIF01002478,Customer_2479,Harari,25,M,191806.52,0.9352169526143829,Cross-Sell Ready
CIF01009436,Customer_9437,Addis Ababa,34,M,778986.75,0.935079431350552,High-CLV Active
CIF01002764,Customer_2765,SNNPR,31,F,142781.67,0.9350788468733515,Champions
CIF01006038,Customer_6039,Oromia,18,F,125006.87,0.935070325919358,Champions
CIF01008531,Customer_8532,Oromia,30,M,255291.42,0.9350157054365775,Cross-Sell Ready
CIF01007165,Customer_7166,Addis Ababa,22,M,1589528.5,0.934951610735821,High-CLV Active
CIF01001251,Customer_1252,SNNPR,40,M,197302.94,0.9349258893766671,Cross-Sell Ready
CIF01004345,Customer_4346,Oromia,43,F,121966.76,0.9348767024926512,Dormant Risk
CIF01007247,Customer_7248,Sidama,20,F,149643.55,0.9347794524991302,Dormant Risk
CIF01006665,Customer_6666,Tigray,21,F,397694.78,0.9347671822551316,Champions
CIF01009926,Customer_9927,Tigray,22,M,163562.25,0.9346887337673035,High-CLV Active
CIF01005533,Customer_5534,Addis Ababa,49,F,165814.52,0.9346309024669305,Mid-Value Growth
CIF01007077,Customer_7078,Addis Ababa,31,F,123134.43,0.9345637292026087,Champions
CIF01003842,Customer_3843,Oromia,36,M,320587.2,0.934534138033145,High-CLV Active
CIF01009272,Customer_9273,Addis Ababa,23,F,269585.34,0.9344296805983919,Champions
CIF01004869,Customer_4870,Tigray,36,F,143641.22,0.9343985266291743,Dormant Risk
CIF01004866,Customer_4867,Addis Ababa,37,M,251191.16,0.9340091668804636,Cross-Sell Ready
CIF01004535,Customer_4536,Gambela,26,M,218409.17,0.9338845169453689,Champions
CIF01003503,Customer_3504,Addis Ababa,22,F,241166.4,0.9337945250663571,Champions
CIF01002435,Customer_2436,Gambela,24,M,194980.81,0.9337149843582696,Cross-Sell Ready
CIF01006376,Customer_6377,Addis Ababa,33,F,300377.75,0.9335167474767493,Mid-Value Growth
CIF01007997,Customer_7998,Addis Ababa,49,M,145856.77,0.9333748476266601,Champions
CIF01005299,Customer_5300,Harari,65,F,151834.89,0.9332936851303215,Dormant Risk
CIF01007568,Customer_7569,Addis Ababa,37,F,166481.22,0.9332671628484752,Mid-Value Growth
CIF01003363,Customer_3364,Amhara,26,M,444732.94,0.9332419230872925,High-CLV Active
CIF01001345,Customer_1346,Dire Dawa,40,F,363864.0,0.9332410529066796,Mid-Value Growth
CIF01000258,Customer_259,Amhara,22,M,355071.44,0.9330926586705973,High-CLV Active
CIF01000076,Customer_77,Sidama,35,M,180195.08,0.9329587589054397,Champions
CIF01008923,Customer_8924,SNNPR,32,F,237965.98,0.9328121057650429,Mid-Value Growth
CIF01000110,Customer_111,Addis Ababa,18,M,398144.84,0.9326974009094903,Cross-Sell Ready
CIF01008138,Customer_8139,Sidama,36,M,328544.94,0.9326819231804039,Champions
CIF01009549,Customer_9550,Addis Ababa,34,M,124453.03,0.9326222456927032,Cross-Sell Ready
CIF01006001,Customer_6002,Amhara,46,M,132234.8,0.9326084951133834,High-CLV Active
CIF01003151,Customer_3152,Harari,39,F,320664.78,0.9324167697232699,Mid-Value Growth
CIF01002178,Customer_2179,Oromia,46,F,245052.84,0.9323503681980135,Champions
CIF01004879,Customer_4880,Addis Ababa,19,M,1032697.06,0.9318914546686365,High-CLV Active
CIF01003618,Customer_3619,Dire Dawa,32,M,253960.69,0.9317159759130779,High-CLV Active
CIF01004606,Customer_4607,Sidama,40,M,140206.28,0.9316739889297954,Champions
CIF01003837,Customer_3838,Addis Ababa,45,F,151776.2,0.9316626824971903,Mid-Value Growth
CIF01004623,Customer_4624,SNNPR,33,F,226591.05,0.9316048915374042,Dormant Risk
CIF01008813,Customer_8814,Addis Ababa,24,F,161483.84,0.9315517312341928,Dormant Risk
CIF01007852,Customer_7853,Addis Ababa,44,M,149235.9,0.9315262147572047,High-CLV Active
CIF01007600,Customer_7601,Addis Ababa,60,F,142783.81,0.9314529766076557,Champions
CIF01008938,Customer_8939,Addis Ababa,33,F,296603.53,0.9312541941514563,Mid-Value Growth
CIF01003184,Customer_3185,Benishangul-Gumuz,38,M,1175688.6,0.9312181952053553,Cross-Sell Ready
CIF01008431,Customer_8432,Oromia,31,M,166713.78,0.9312038836959777,High-CLV Active
CIF01004353,Customer_4354,Amhara,44,F,189284.1,0.931150353647046,Dormant Risk
CIF01003795,Customer_3796,Amhara,18,F,171531.92,0.9308369589903409,Mid-Value Growth
CIF01008084,Customer_8085,Addis Ababa,46,M,139648.22,0.930707517260563,High-CLV Active
CIF01007263,Customer_7264,Addis Ababa,38,M,129283.445,0.9306748413211655,High-CLV Active
CIF01007195,Customer_7196,Oromia,18,M,407406.78,0.9306690059662672,High-CLV Active
CIF01009818,Customer_9819,Sidama,41,F,137099.03,0.9305809972001284,Dormant Risk
CIF01006375,Customer_6376,Oromia,45,M,174204.25,0.9305462826544391,High-CLV Active
CIF01007276,Customer_7277,Addis Ababa,40,F,221991.48,0.9304760890175049,Mid-Value Growth
CIF01003357,Customer_3358,Amhara,39,M,149001.27,0.9304714859979432,High-CLV Active
CIF01006205,Customer_6206,Amhara,42,M,220996.12,0.9303603272618576,High-CLV Active
CIF01001133,Customer_1134,Oromia,30,M,134940.44,0.9303375322538712,Cross-Sell Ready
CIF01004230,Customer_4231,Addis Ababa,26,M,174197.23,0.9302937708942661,High-CLV Active
CIF01007546,Customer_7547,Dire Dawa,18,F,154191.88,0.9302646089704708,Mid-Value Growth
CIF01004222,Customer_4223,Somali,40,M,238897.1,0.9302078771273095,Cross-Sell Ready
CIF01007678,Customer_7679,Benishangul-Gumuz,30,M,133198.4,0.9301305416408164,Champions
CIF01000157,Customer_158,Sidama,18,F,1067553.1,0.9297805993798295,Champions
CIF01005585,Customer_5586,Amhara,32,F,1186617.8,0.9296760014927465,Champions
CIF01002958,Customer_2959,Oromia,46,M,137375.06,0.9296728699592403,High-CLV Active
CIF01004038,Customer_4039,Amhara,26,M,146539.72,0.9296560031543799,Champions
CIF01000085,Customer_86,Addis Ababa,31,M,243223.56,0.9295988478484075,Cross-Sell Ready
CIF01007397,Customer_7398,Amhara,48,M,157297.25,0.9295471946729725,High-CLV Active
CIF01004311,Customer_4312,Amhara,42,F,998891.06,0.9294938822234013,Mid-Value Growth
CIF01005958,Customer_5959,Addis Ababa,51,M,175327.75,0.9293207869060179,High-CLV Active
CIF01000712,Customer_713,Addis Ababa,33,F,486142.28,0.9291185131075751,Mid-Value Growth
CIF01006884,Customer_6885,Addis Ababa,22,M,377990.7,0.9289142978094493,High-CLV Active
CIF01008218,Customer_8219,Addis Ababa,25,F,365950.5,0.9289101077451162,Mid-Value Growth
CIF01005637,Customer_5638,SNNPR,46,F,267896.62,0.9287600093312165,Dormant Risk
CIF01004523,Customer_4524,Benishangul-Gumuz,63,M,146586.08,0.9287252551995685,High-CLV Active
CIF01005765,Customer_5766,Amhara,38,M,138372.55,0.9285960284754444,High-CLV Active
CIF01006713,Customer_6714,Amhara,39,M,150271.14,0.9285406530549983,Cross-Sell Ready
CIF01002696,Customer_2697,Addis Ababa,30,M,142766.12,0.9284205321628569,High-CLV Active
CIF01009279,Customer_9280,SNNPR,25,M,191646.55,0.9284071910562933,High-CLV Active
CIF01003177,Customer_3178,Harari,48,F,185415.16,0.9283923851767031,Champions
CIF01005850,Customer_5851,Addis Ababa,53,M,163548.38,0.9283626525152897,High-CLV Active
CIF01002334,Customer_2335,Addis Ababa,43,M,165225.19,0.9283366004676551,High-CLV Active
CIF01007384,Customer_7385,Amhara,30,F,160050.88,0.9283250830213479,Dormant Risk
CIF01001526,Customer_1527,Addis Ababa,32,M,203627.84,0.9282447382841241,High-CLV Active
CIF01007235,Customer_7236,Amhara,36,F,418947.56,0.9281867402315283,Champions
CIF01000422,Customer_423,Dire Dawa,36,F,121322.695,0.9281773545823936,Champions
CIF01004915,Customer_4916,Oromia,34,M,151174.97,0.928149292030204,High-CLV Active
CIF01008625,Customer_8626,Addis Ababa,49,F,199933.52,0.9281346125937083,Mid-Value Growth
CIF01001281,Customer_1282,Gambela,42,M,173370.02,0.928132705338119,Champions
CIF01006485,Customer_6486,Addis Ababa,37,M,122999.39,0.9281037797219868,Cross-Sell Ready
CIF01009211,Customer_9212,Addis Ababa,33,F,285099.7,0.9280315605371614,Mid-Value Growth
CIF01006009,Customer_6010,Amhara,33,F,123196.164,0.9279637766249592,Dormant Risk
CIF01006720,Customer_6721,SNNPR,30,M,156638.72,0.9279457654981568,High-CLV Active
CIF01006735,Customer_6736,SNNPR,57,F,128079.38,0.9277671895559854,Mid-Value Growth
CIF01005330,Customer_5331,Amhara,18,M,115920.49,0.9277572784069793,Cross-Sell Ready
CIF01009821,Customer_9822,Harari,42,F,214104.06,0.9277325787998159,Mid-Value Growth
CIF01003958,Customer_3959,Addis Ababa,27,M,421591.66,0.9276248439590644,High-CLV Active
CIF01003761,Customer_3762,Addis Ababa,20,M,437264.16,0.9276017215428825,High-CLV Active
CIF01009144,Customer_9145,Gambela,32,F,137111.9,0.9275595767652749,Champions
CIF01002448,Customer_2449,Oromia,49,M,509996.4,0.9272823182717478,Champions
CIF01003898,Customer_3899,Oromia,19,M,307786.78,0.9271465086820075,Champions
CIF01000490,Customer_491,Addis Ababa,29,M,829937.9,0.927139008514243,Champions
CIF01002046,Customer_2047,Gambela,43,M,237007.97,0.9271116013356188,High-CLV Active
CIF01004279,Customer_4280,SNNPR,19,F,127808.96,0.9270174269680683,Mid-Value Growth
CIF01000839,Customer_840,Tigray,39,M,244215.7,0.9269354751342956,Champions
CIF01006215,Customer_6216,Dire Dawa,33,M,152718.34,0.9268154608277236,High-CLV Active
CIF01004683,Customer_4684,Oromia,51,M,195364.72,0.9262696775731588,Champions
CIF01006117,Customer_6118,Oromia,30,M,124143.19,0.9260469161886433,High-CLV Active
CIF01008404,Customer_8405,Addis Ababa,48,M,168521.38,0.9259598551281022,Cross-Sell Ready
CIF01008165,Customer_8166,Addis Ababa,45,F,134009.11,0.9258382504252513,Champions
CIF01004886,Customer_4887,SNNPR,30,F,148968.95,0.925469033701134,Champions
CIF01004485,Customer_4486,Amhara,29,M,155456.62,0.9253624030868656,Cross-Sell Ready
CIF01005776,Customer_5777,Tigray,23,F,203601.1,0.9253576822980946,Champions
CIF01004817,Customer_4818,Benishangul-Gumuz,43,M,190102.89,0.9251359381093601,High-CLV Active
CIF01003912,Customer_3913,Oromia,41,F,148868.17,0.925110983350401,Champions
CIF01003803,Customer_3804,SNNPR,34,M,151170.67,0.9250407044638538,Cross-Sell Ready
CIF01007000,Customer_7001,Addis Ababa,60,M,110904.18,0.9249982057134272,Cross-Sell Ready
CIF01002269,Customer_2270,Addis Ababa,32,M,138947.1,0.9247765204183316,High-CLV Active
CIF01001283,Customer_1284,Dire Dawa,20,M,145249.03,0.9247754046308898,Cross-Sell Ready
CIF01005702,Customer_5703,Dire Dawa,19,M,128907.94,0.9247739121445682,Cross-Sell Ready
CIF01008496,Customer_8497,Oromia,21,M,122595.53,0.9247509747544689,Cross-Sell Ready
CIF01000620,Customer_621,Addis Ababa,32,M,137195.42,0.9245447987747956,High-CLV Active
CIF01001537,Customer_1538,Sidama,41,F,264370.1,0.9244665157430927,Champions
CIF01008847,Customer_8848,Harari,25,M,143893.4,0.9244415285948149,Cross-Sell Ready
CIF01006108,Customer_6109,Sidama,50,M,166402.2,0.9244400802101038,Cross-Sell Ready
CIF01004478,Customer_4479,Addis Ababa,36,M,150313.4,0.9243456796898791,High-CLV Active
CIF01008958,Customer_8959,Tigray,18,F,208451.94,0.9242225879725142,Mid-Value Growth
CIF01003266,Customer_3267,SNNPR,39,F,214054.48,0.924014865078955,Mid-Value Growth
CIF01008299,Customer_8300,Oromia,18,F,130249.23,0.9238895468535979,Champions
CIF01005504,Customer_5505,Tigray,22,F,514049.66,0.9236938077868444,Dormant Risk
CIF01008724,Customer_8725,Amhara,35,F,125473.875,0.9235666879616123,Dormant Risk
CIF01003152,Customer_3153,Amhara,45,F,117420.96,0.9233697314045194,Dormant Risk
CIF01007356,Customer_7357,SNNPR,57,F,247637.27,0.9233270005551564,Dormant Risk
CIF01002255,Customer_2256,Oromia,43,M,119895.336,0.9232729600839296,Cross-Sell Ready
CIF01008723,Customer_8724,Tigray,22,F,144412.25,0.9232151181938063,Dormant Risk
CIF01006374,Customer_6375,Oromia,22,M,350661.66,0.9232084198318747,High-CLV Active
CIF01006051,Customer_6052,Amhara,25,M,430955.16,0.9231284006533866,High-CLV Active
CIF01003419,Customer_3420,Addis Ababa,18,M,147313.2,0.9231008233971083,High-CLV Active
CIF01007058,Customer_7059,SNNPR,42,M,263614.72,0.9230573735234062,Cross-Sell Ready
CIF01009539,Customer_9540,Addis Ababa,28,F,169555.31,0.9229290771200858,Mid-Value Growth
CIF01002103,Customer_2104,Amhara,52,M,153923.81,0.9227489631988612,High-CLV Active
CIF01005856,Customer_5857,Oromia,43,F,137559.05,0.922564154740865,Dormant Risk
CIF01003936,Customer_3937,Amhara,37,M,1070963.8,0.9225116316901195,Cross-Sell Ready
CIF01004330,Customer_4331,Tigray,31,F,150125.06,0.9224272997146631,Champions
CIF01007237,Customer_7238,Oromia,37,M,122461.76,0.9223334015449122,Champions
CIF01007872,Customer_7873,Dire Dawa,35,M,887071.75,0.9223034138685839,Cross-Sell Ready
CIF01001158,Customer_1159,Addis Ababa,23,M,113011.836,0.9222796616521268,High-CLV Active
CIF01007738,Customer_7739,Oromia,40,M,155416.84,0.922272845879295,High-CLV Active
CIF01002810,Customer_2811,Addis Ababa,35,M,134039.14,0.9222325687651518,High-CLV Active
CIF01001467,Customer_1468,Gambela,40,F,570533.9,0.9220583409921436,Champions
CIF01007888,Customer_7889,Sidama,42,F,157983.84,0.9217632893988277,Dormant Risk
CIF01003461,Customer_3462,Amhara,57,F,130115.19,0.9217155954353143,Dormant Risk
CIF01006362,Customer_6363,Dire Dawa,25,F,156438.98,0.9217148753761658,Dormant Risk
CIF01006093,Customer_6094,SNNPR,41,M,114562.055,0.9217122963291026,Champions
CIF01002158,Customer_2159,Addis Ababa,39,M,238171.28,0.9216693282666485,High-CLV Active
CIF01007385,Customer_7386,Addis Ababa,43,M,151928.11,0.9215491934321165,High-CLV Active
CIF01006033,Customer_6034,Amhara,22,F,159776.39,0.9214996327035654,Champions
CIF01003438,Customer_3439,SNNPR,49,F,197497.66,0.921409357563664,Champions
CIF01005379,Customer_5380,Oromia,44,M,188644.53,0.9213616012546405,Champions
CIF01002525,Customer_2526,Benishangul-Gumuz,42,M,1104353.9,0.9213493892298684,High-CLV Active
CIF01001459,Customer_1460,Harari,29,F,153675.78,0.9212215316518982,Mid-Value Growth
CIF01009600,Customer_9601,Oromia,18,F,166480.7,0.9209617869627431,Mid-Value Growth
CIF01002465,Customer_2466,Oromia,52,M,225714.22,0.9208361603182017,High-CLV Active
CIF01008341,Customer_8342,Dire Dawa,41,M,359175.75,0.9205510950022148,High-CLV Active
CIF01007171,Customer_7172,Afar,19,F,363756.6,0.9204479418749679,Mid-Value Growth
CIF01002086,Customer_2087,Tigray,52,F,149306.84,0.9203991105860173,Mid-Value Growth
CIF01004331,Customer_4332,Somali,18,M,160718.73,0.9203742043343042,Champions
CIF01009156,Customer_9157,Tigray,18,F,625910.25,0.9202242574690515,Champions
CIF01004165,Customer_4166,Benishangul-Gumuz,29,M,149100.44,0.9199114203009833,High-CLV Active
CIF01007267,Customer_7268,Addis Ababa,56,M,147999.27,0.9197898180270992,Cross-Sell Ready
CIF01005523,Customer_5524,Oromia,65,M,142361.0,0.9196501225218168,Cross-Sell Ready
CIF01005539,Customer_5540,Amhara,32,F,132470.56,0.9195193124191212,Mid-Value Growth
CIF01005727,Customer_5728,Amhara,48,F,151820.64,0.9195156080303936,Dormant Risk
CIF01004790,Customer_4791,Addis Ababa,18,M,253803.7,0.9194243034472152,High-CLV Active
CIF01007740,Customer_7741,Sidama,49,F,226387.84,0.9191535170280256,Mid-Value Growth
CIF01008267,Customer_8268,Oromia,28,M,138566.17,0.9188626170232022,High-CLV Active
CIF01003986,Customer_3987,Sidama,39,M,315493.78,0.9187789605884272,High-CLV Active
CIF01009181,Customer_9182,Sidama,53,F,138530.23,0.9187234607686783,Dormant Risk
CIF01007676,Customer_7677,Somali,22,M,423379.28,0.9187132839539337,High-CLV Active
CIF01007720,Customer_7721,Benishangul-Gumuz,48,M,534234.75,0.9185036332870539,High-CLV Active
CIF01000818,Customer_819,Addis Ababa,28,M,190256.64,0.9184563691044281,High-CLV Active
CIF01002272,Customer_2273,Harari,45,M,212773.98,0.9180413392889265,Cross-Sell Ready
CIF01001420,Customer_1421,Gambela,26,M,169424.92,0.9179100066748254,High-CLV Active
CIF01005963,Customer_5964,Amhara,46,F,245241.06,0.9178202228649329,Mid-Value Growth
CIF01009766,Customer_9767,Amhara,33,M,225463.78,0.9177461775210382,Cross-Sell Ready
CIF01001723,Customer_1724,Amhara,43,M,131346.34,0.9176896831325843,High-CLV Active
CIF01000404,Customer_405,Afar,35,F,361241.1,0.9174315618656046,Mid-Value Growth
CIF01007157,Customer_7158,Addis Ababa,42,F,127113.766,0.9173079807249814,Champions
CIF01000552,Customer_553,Addis Ababa,34,M,154565.89,0.9170687384406699,High-CLV Active
CIF01006045,Customer_6046,Oromia,22,F,162531.4,0.9168746781991426,Mid-Value Growth
CIF01005381,Customer_5382,Amhara,49,F,175009.39,0.9168526433853342,Champions
CIF01002754,Customer_2755,Addis Ababa,38,M,155317.17,0.9167914878235716,High-CLV Active
CIF01004708,Customer_4709,SNNPR,25,F,195782.75,0.9165609530329522,Mid-Value Growth
CIF01005961,Customer_5962,Tigray,29,M,118414.54,0.9165106021468392,Champions
CIF01009311,Customer_9312,Tigray,24,M,136003.02,0.916412116086708,High-CLV Active
CIF01007220,Customer_7221,Oromia,33,F,322910.34,0.9163318056781473,Champions
CIF01006178,Customer_6179,SNNPR,43,F,143071.03,0.9162132074943284,Mid-Value Growth
CIF01002730,Customer_2731,Addis Ababa,19,F,416922.53,0.9161580727408424,Mid-Value Growth
CIF01003281,Customer_3282,Addis Ababa,47,F,159704.12,0.9160619463936284,Dormant Risk
CIF01001759,Customer_1760,Somali,49,M,158317.88,0.9159955342467148,Cross-Sell Ready
CIF01000441,Customer_442,SNNPR,24,F,211096.92,0.9158910977970254,Mid-Value Growth
CIF01009496,Customer_9497,Dire Dawa,18,F,133407.08,0.9158712987295826,Mid-Value Growth
CIF01009952,Customer_9953,Oromia,38,M,117918.51,0.9158399729937086,Champions
CIF01006204,Customer_6205,Oromia,44,M,112943.67,0.9154271133836738,High-CLV Active
CIF01005262,Customer_5263,Amhara,45,M,123858.63,0.9154208642040328,Cross-Sell Ready
CIF01008372,Customer_8373,Addis Ababa,22,M,131870.47,0.9153718259713974,High-CLV Active
CIF01004357,Customer_4358,Oromia,47,F,127347.85,0.9153440765529933,Mid-Value Growth
CIF01000300,Customer_301,Oromia,18,F,267186.78,0.9150765968434382,Champions
CIF01000675,Customer_676,Addis Ababa,36,F,111519.24,0.9150562292035539,Champions
CIF01009598,Customer_9599,SNNPR,40,F,159995.81,0.9146609582918408,Dormant Risk
CIF01000645,Customer_646,Addis Ababa,29,M,130806.766,0.9145438121624168,High-CLV Active
CIF01001771,Customer_1772,Harari,61,F,187892.02,0.9145422402121676,Mid-Value Growth
CIF01004335,Customer_4336,Addis Ababa,32,F,522652.25,0.9142913108982839,Mid-Value Growth
CIF01004329,Customer_4330,Sidama,37,F,127901.55,0.9141608633506254,Mid-Value Growth
CIF01009305,Customer_9306,Tigray,23,M,115580.47,0.9141312543068801,Cross-Sell Ready
CIF01004032,Customer_4033,Addis Ababa,32,M,311044.9,0.9141234131524275,Champions
CIF01007028,Customer_7029,Oromia,38,M,253169.97,0.9140895750867082,Champions
CIF01003746,Customer_3747,Amhara,27,F,141903.97,0.9140242251813925,Mid-Value Growth
CIF01009836,Customer_9837,Addis Ababa,49,F,143877.84,0.9136252780277757,Champions
CIF01001737,Customer_1738,Gambela,43,F,114094.47,0.913020579543855,Dormant Risk
CIF01009106,Customer_9107,Oromia,38,F,132783.14,0.9129112026911217,Mid-Value Growth
CIF01003330,Customer_3331,Gambela,30,M,202323.64,0.9128183809916428,High-CLV Active
CIF01009899,Customer_9900,Addis Ababa,41,F,205980.62,0.9122904822528616,Dormant Risk
CIF01005971,Customer_5972,SNNPR,26,F,154424.77,0.9122593424440834,Mid-Value Growth
CIF01003686,Customer_3687,SNNPR,43,F,164865.66,0.9120622641134392,Dormant Risk
CIF01001683,Customer_1684,Tigray,36,F,416451.6,0.9118144353578947,Champions
CIF01005332,Customer_5333,Amhara,19,F,238036.36,0.9114991628551805,Dormant Risk
CIF01006039,Customer_6040,Addis Ababa,36,F,136911.8,0.9113244034882971,Mid-Value Growth
CIF01008694,Customer_8695,Addis Ababa,18,M,183174.5,0.9112093428993766,High-CLV Active
CIF01001797,Customer_1798,Amhara,33,M,163710.8,0.9111687969392902,High-CLV Active
CIF01005816,Customer_5817,Amhara,31,F,453512.22,0.9110984896263401,Champions
CIF01009308,Customer_9309,Gambela,31,M,322117.72,0.9110787482677186,High-CLV Active
CIF01006990,Customer_6991,Addis Ababa,38,F,151256.25,0.910647718583516,Mid-Value Growth
CIF01006063,Customer_6064,Amhara,28,M,145248.45,0.910239213907275,High-CLV Active
CIF01006766,Customer_6767,Addis Ababa,25,F,153288.11,0.9102367086737384,Dormant Risk
