CIF,Account_Name,Current_Product,Segment,CLV_Tier,Churn_Risk,NBP_Rank,Recommended_Product,Confidence_Score
CIF01002405,Customer_2406,Special Saving Account,High-CLV Active,High-CLV,Low Risk,2,Blatena Saving Account,0.07881
CIF01002405,Customer_2406,Special Saving Account,High-CLV Active,High-CLV,Low Risk,3,Werazut Saving Account,0.06548
CIF01002406,Customer_2407,Werazut Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.23833
CIF01002406,Customer_2407,Werazut Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,2,Special Saving Account,0.10453
CIF01002406,Customer_2407,Werazut Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07631
CIF01002407,Customer_2408,Agape Saving Account,Dormant Risk,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.2305
CIF01002407,Customer_2408,Agape Saving Account,Dormant Risk,Low-CLV,Critical Risk,2,Special Saving Account,0.09978
CIF01002407,Customer_2408,Agape Saving Account,Dormant Risk,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07858
CIF01002408,Customer_2409,Ahadu Bereket Saving Account,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23742
CIF01002408,Customer_2409,Ahadu Bereket Saving Account,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.10101
CIF01002408,Customer_2409,Ahadu Bereket Saving Account,Dormant Risk,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.0811
CIF01002409,Customer_2410,Special Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24658
CIF01002409,Customer_2410,Special Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Werazut Saving Account,0.07348
CIF01002409,Customer_2410,Special Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07337
CIF01002410,Customer_2411,Dekemezmur Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.25506
CIF01002410,Customer_2411,Dekemezmur Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,2,Special Saving Account,0.10274
CIF01002410,Customer_2411,Dekemezmur Saving Account,Mid-Value Growth,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07623
CIF01002411,Customer_2412,Ordinary Saving Account,Mid-Value Growth,Low-CLV,Low Risk,1,Special Saving Account,0.10453
CIF01002411,Customer_2412,Ordinary Saving Account,Mid-Value Growth,Low-CLV,Low Risk,2,Blatena Saving Account,0.07631
CIF01002411,Customer_2412,Ordinary Saving Account,Mid-Value Growth,Low-CLV,Low Risk,3,Werazut Saving Account,0.06932
CIF01002412,Customer_2413,Dekemezmur Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.25408
CIF01002412,Customer_2413,Dekemezmur Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Special Saving Account,0.09953
CIF01002412,Customer_2413,Dekemezmur Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07607
CIF01002413,Customer_2414,Abew Saving Account,Dormant Risk,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.2305
CIF01002413,Customer_2414,Abew Saving Account,Dormant Risk,Low-CLV,Critical Risk,2,Special Saving Account,0.09978
CIF01002413,Customer_2414,Abew Saving Account,Dormant Risk,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07858
CIF01002414,Customer_2415,Sitota Saving Deposit,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23742
CIF01002414,Customer_2415,Sitota Saving Deposit,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.10101
CIF01002414,Customer_2415,Sitota Saving Deposit,Dormant Risk,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.0811
CIF01002415,Customer_2416,Couples Saving Deposit,Mid-Value Growth,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24435
CIF01002415,Customer_2416,Couples Saving Deposit,Mid-Value Growth,High-CLV,Critical Risk,2,Special Saving Account,0.10635
CIF01002415,Customer_2416,Couples Saving Deposit,Mid-Value Growth,High-CLV,Critical Risk,3,Blatena Saving Account,0.07855
CIF01002416,Customer_2417,Ordinary Saving Account,Low Engagement,Top-CLV,Low Risk,1,Special Saving Account,0.10427
CIF01002416,Customer_2417,Ordinary Saving Account,Low Engagement,Top-CLV,Low Risk,2,Blatena Saving Account,0.07533
CIF01002416,Customer_2417,Ordinary Saving Account,Low Engagement,Top-CLV,Low Risk,3,Werazut Saving Account,0.07166
CIF01002417,Customer_2418,Washera Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24052
CIF01002417,Customer_2418,Washera Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.097
CIF01002417,Customer_2418,Washera Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08032
CIF01002418,Customer_2419,Asrat Bekurat Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24327
CIF01002418,Customer_2419,Asrat Bekurat Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,2,Special Saving Account,0.10103
CIF01002418,Customer_2419,Asrat Bekurat Saving Account,Cross-Sell Ready,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07473
CIF01002419,Customer_2420,Hiruyan Saving Account,Low Engagement,High-CLV,Low Risk,1,Ordinary Saving Account,0.24869
CIF01002419,Customer_2420,Hiruyan Saving Account,Low Engagement,High-CLV,Low Risk,2,Special Saving Account,0.10483
CIF01002419,Customer_2420,Hiruyan Saving Account,Low Engagement,High-CLV,Low Risk,3,Blatena Saving Account,0.07519
CIF01002420,Customer_2421,Equb Saving Account,Low Engagement,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.23677
CIF01002420,Customer_2421,Equb Saving Account,Low Engagement,Low-CLV,Critical Risk,2,Special Saving Account,0.10646
CIF01002420,Customer_2421,Equb Saving Account,Low Engagement,Low-CLV,Critical Risk,3,Werazut Saving Account,0.07649
CIF01002421,Customer_2422,Blatena Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.25601
CIF01002421,Customer_2422,Blatena Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,2,Special Saving Account,0.10384
CIF01002421,Customer_2422,Blatena Saving Account,Cross-Sell Ready,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.06729
CIF01002422,Customer_2423,Werazut Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.2543
CIF01002422,Customer_2423,Werazut Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Special Saving Account,0.09993
CIF01002422,Customer_2423,Werazut Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07828
CIF01002423,Customer_2424,Prime Customer Deposit Account,Low Engagement,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24469
CIF01002423,Customer_2424,Prime Customer Deposit Account,Low Engagement,High-CLV,Critical Risk,2,Special Saving Account,0.10943
CIF01002423,Customer_2424,Prime Customer Deposit Account,Low Engagement,High-CLV,Critical Risk,3,Blatena Saving Account,0.07569
CIF01002424,Customer_2425,Ordinary Saving Account,Champions,Top-CLV,Critical Risk,1,Special Saving Account,0.10295
CIF01002424,Customer_2425,Ordinary Saving Account,Champions,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07772
CIF01002424,Customer_2425,Ordinary Saving Account,Champions,Top-CLV,Critical Risk,3,Ahati Saving Account,0.06503
CIF01002425,Customer_2426,Hiruyan Saving Account,Champions,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25607
CIF01002425,Customer_2426,Hiruyan Saving Account,Champions,Top-CLV,Critical Risk,2,Special Saving Account,0.10295
CIF01002425,Customer_2426,Hiruyan Saving Account,Champions,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07772
CIF01002426,Customer_2427,Ahadu Bereket Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.24624
CIF01002426,Customer_2427,Ahadu Bereket Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,2,Special Saving Account,0.10036
CIF01002426,Customer_2427,Ahadu Bereket Saving Account,Mid-Value Growth,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07623
CIF01002427,Customer_2428,Equb Saving Account,High-CLV Active,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.26051
CIF01002427,Customer_2428,Equb Saving Account,High-CLV Active,Top-CLV,Critical Risk,2,Special Saving Account,0.09842
CIF01002427,Customer_2428,Equb Saving Account,High-CLV Active,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07845
CIF01002428,Customer_2429,Ordinary Saving Account,Dormant Risk,Top-CLV,Critical Risk,1,Special Saving Account,0.10062
CIF01002428,Customer_2429,Ordinary Saving Account,Dormant Risk,Top-CLV,Critical Risk,2,Blatena Saving Account,0.08054
CIF01002428,Customer_2429,Ordinary Saving Account,Dormant Risk,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06908
CIF01002429,Customer_2430,Hiruyan Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24967
CIF01002429,Customer_2430,Hiruyan Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,2,Special Saving Account,0.10537
CIF01002429,Customer_2430,Hiruyan Saving Account,Mid-Value Growth,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07827
CIF01002430,Customer_2431,Ordinary Saving Account,Mid-Value Growth,Low-CLV,Low Risk,1,Special Saving Account,0.10033
CIF01002430,Customer_2431,Ordinary Saving Account,Mid-Value Growth,Low-CLV,Low Risk,2,Blatena Saving Account,0.07802
CIF01002430,Customer_2431,Ordinary Saving Account,Mid-Value Growth,Low-CLV,Low Risk,3,Werazut Saving Account,0.07077
CIF01002431,Customer_2432,Prime Customer Deposit Account,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23932
CIF01002431,Customer_2432,Prime Customer Deposit Account,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.10216
CIF01002431,Customer_2432,Prime Customer Deposit Account,Dormant Risk,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07858
CIF01002432,Customer_2433,Ahati Saving Account,Dormant Risk,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24975
CIF01002432,Customer_2433,Ahati Saving Account,Dormant Risk,Top-CLV,Critical Risk,2,Special Saving Account,0.09644
CIF01002432,Customer_2433,Ahati Saving Account,Dormant Risk,Top-CLV,Critical Risk,3,Blatena Saving Account,0.08046
CIF01002433,Customer_2434,Special Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25853
CIF01002433,Customer_2434,Special Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07711
CIF01002433,Customer_2434,Special Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06701
CIF01002434,Customer_2435,Prime Customer Deposit Account,Cross-Sell Ready,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.23928
CIF01002434,Customer_2435,Prime Customer Deposit Account,Cross-Sell Ready,Low-CLV,Critical Risk,2,Special Saving Account,0.10563
CIF01002434,Customer_2435,Prime Customer Deposit Account,Cross-Sell Ready,Low-CLV,Critical Risk,3,Blatena Saving Account,0.07523
CIF01002435,Customer_2436,Ahati Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25461
CIF01002435,Customer_2436,Ahati Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Special Saving Account,0.10187
CIF01002435,Customer_2436,Ahati Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07669
CIF01002436,Customer_2437,Ahati Saving Account,High-CLV Active,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.2526
CIF01002436,Customer_2437,Ahati Saving Account,High-CLV Active,Top-CLV,Critical Risk,2,Special Saving Account,0.10259
CIF01002436,Customer_2437,Ahati Saving Account,High-CLV Active,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07853
CIF01002437,Customer_2438,Ahati Saving Account,Low Engagement,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.24559
CIF01002437,Customer_2438,Ahati Saving Account,Low Engagement,Mid-CLV,Critical Risk,2,Special Saving Account,0.10884
CIF01002437,Customer_2438,Ahati Saving Account,Low Engagement,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.07597
CIF01002438,Customer_2439,Special Saving Account,Low Engagement,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.25172
CIF01002438,Customer_2439,Special Saving Account,Low Engagement,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07516
CIF01002438,Customer_2439,Special Saving Account,Low Engagement,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.07287
CIF01002439,Customer_2440,Tirufat Savings Account,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.24355
CIF01002439,Customer_2440,Tirufat Savings Account,Dormant Risk,Mid-CLV,Critical Risk,2,Special Saving Account,0.09796
CIF01002439,Customer_2440,Tirufat Savings Account,Dormant Risk,Mid-CLV,Critical Risk,3,Blatena Saving Account,0.08029
CIF01002440,Customer_2441,Ahadu Bereket Saving Account,Dormant Risk,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.24584
CIF01002440,Customer_2441,Ahadu Bereket Saving Account,Dormant Risk,Top-CLV,Critical Risk,2,Special Saving Account,0.09602
CIF01002440,Customer_2441,Ahadu Bereket Saving Account,Dormant Risk,Top-CLV,Critical Risk,3,Blatena Saving Account,0.08004
CIF01002441,Customer_2442,Ordinary Saving Account,Dormant Risk,Low-CLV,Critical Risk,1,Special Saving Account,0.09518
CIF01002441,Customer_2442,Ordinary Saving Account,Dormant Risk,Low-CLV,Critical Risk,2,Blatena Saving Account,0.07808
CIF01002441,Customer_2442,Ordinary Saving Account,Dormant Risk,Low-CLV,Critical Risk,3,Werazut Saving Account,0.0697
CIF01002442,Customer_2443,Werazut Saving Account,Dormant Risk,Low-CLV,Critical Risk,1,Ordinary Saving Account,0.23473
CIF01002442,Customer_2443,Werazut Saving Account,Dormant Risk,Low-CLV,Critical Risk,2,Special Saving Account,0.09558
CIF01002442,Customer_2443,Werazut Saving Account,Dormant Risk,Low-CLV,Critical Risk,3,Blatena Saving Account,0.08029
CIF01002443,Customer_2444,Dekemezmur Saving Account,Low Engagement,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.2554
CIF01002443,Customer_2444,Dekemezmur Saving Account,Low Engagement,Mid-CLV,Low Risk,2,Special Saving Account,0.10581
CIF01002443,Customer_2444,Dekemezmur Saving Account,Low Engagement,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07337
CIF01002444,Customer_2445,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,1,Special Saving Account,0.10581
CIF01002444,Customer_2445,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07337
CIF01002444,Customer_2445,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.07194
CIF01002445,Customer_2446,Asrat Bekurat Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.24715
CIF01002445,Customer_2446,Asrat Bekurat Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,2,Special Saving Account,0.10691
CIF01002445,Customer_2446,Asrat Bekurat Saving Account,Mid-Value Growth,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07631
CIF01002446,Customer_2447,Abew Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24052
CIF01002446,Customer_2447,Abew Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.097
CIF01002446,Customer_2447,Abew Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08032
CIF01002447,Customer_2448,Ordinary Saving Account,Low Engagement,Top-CLV,Critical Risk,1,Special Saving Account,0.10427
CIF01002447,Customer_2448,Ordinary Saving Account,Low Engagement,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07533
CIF01002447,Customer_2448,Ordinary Saving Account,Low Engagement,Top-CLV,Critical Risk,3,Werazut Saving Account,0.07166
CIF01002448,Customer_2449,Special Saving Account,Champions,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.2563
CIF01002448,Customer_2449,Special Saving Account,Champions,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07992
CIF01002448,Customer_2449,Special Saving Account,Champions,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06755
CIF01002449,Customer_2450,Werazut Saving Account,Champions,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24676
CIF01002449,Customer_2450,Werazut Saving Account,Champions,High-CLV,Critical Risk,2,Special Saving Account,0.10852
CIF01002449,Customer_2450,Werazut Saving Account,Champions,High-CLV,Critical Risk,3,Blatena Saving Account,0.07849
CIF01002450,Customer_2451,Tirufat Savings Account,High-CLV Active,Top-CLV,Low Risk,1,Ordinary Saving Account,0.2566
CIF01002450,Customer_2451,Tirufat Savings Account,High-CLV Active,Top-CLV,Low Risk,2,Special Saving Account,0.09799
CIF01002450,Customer_2451,Tirufat Savings Account,High-CLV Active,Top-CLV,Low Risk,3,Blatena Saving Account,0.07803
CIF01002451,Customer_2452,Ordinary Saving Account,High-CLV Active,Top-CLV,Critical Risk,1,Special Saving Account,0.09839
CIF01002451,Customer_2452,Ordinary Saving Account,High-CLV Active,Top-CLV,Critical Risk,2,Blatena Saving Account,0.08024
CIF01002451,Customer_2452,Ordinary Saving Account,High-CLV Active,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06386
CIF01002452,Customer_2453,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,1,Special Saving Account,0.10943
CIF01002452,Customer_2453,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,2,Blatena Saving Account,0.07569
CIF01002452,Customer_2453,Ordinary Saving Account,Low Engagement,High-CLV,Critical Risk,3,Werazut Saving Account,0.07422
CIF01002453,Customer_2454,Ordinary Saving Account,Champions,Top-CLV,Low Risk,1,Special Saving Account,0.1064
CIF01002453,Customer_2454,Ordinary Saving Account,Champions,Top-CLV,Low Risk,2,Blatena Saving Account,0.08073
CIF01002453,Customer_2454,Ordinary Saving Account,Champions,Top-CLV,Low Risk,3,Werazut Saving Account,0.06963
CIF01002454,Customer_2455,Dekemezmur Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.23652
CIF01002454,Customer_2455,Dekemezmur Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.1016
CIF01002454,Customer_2455,Dekemezmur Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08082
CIF01002455,Customer_2456,Tirufat Savings Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.23652
CIF01002455,Customer_2456,Tirufat Savings Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.1016
CIF01002455,Customer_2456,Tirufat Savings Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08082
CIF01002456,Customer_2457,Special Saving Account,Champions,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25208
CIF01002456,Customer_2457,Special Saving Account,Champions,Top-CLV,Critical Risk,2,Blatena Saving Account,0.07821
CIF01002456,Customer_2457,Special Saving Account,Champions,Top-CLV,Critical Risk,3,Werazut Saving Account,0.0661
CIF01002457,Customer_2458,Ordinary Saving Account,Mid-Value Growth,High-CLV,Low Risk,1,Special Saving Account,0.10635
CIF01002457,Customer_2458,Ordinary Saving Account,Mid-Value Growth,High-CLV,Low Risk,2,Blatena Saving Account,0.07855
CIF01002457,Customer_2458,Ordinary Saving Account,Mid-Value Growth,High-CLV,Low Risk,3,Werazut Saving Account,0.07058
CIF01002458,Customer_2459,Special Saving Account,High-CLV Active,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25682
CIF01002458,Customer_2459,Special Saving Account,High-CLV Active,Top-CLV,Critical Risk,2,Blatena Saving Account,0.08024
CIF01002458,Customer_2459,Special Saving Account,High-CLV Active,Top-CLV,Critical Risk,3,Werazut Saving Account,0.06386
CIF01002459,Customer_2460,Ahati Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24443
CIF01002459,Customer_2460,Ahati Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.09742
CIF01002459,Customer_2460,Ahati Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08074
CIF01002460,Customer_2461,Ahadu Bereket Saving Account,High-CLV Active,Mid-CLV,Low Risk,1,Ordinary Saving Account,0.2543
CIF01002460,Customer_2461,Ahadu Bereket Saving Account,High-CLV Active,Mid-CLV,Low Risk,2,Special Saving Account,0.09993
CIF01002460,Customer_2461,Ahadu Bereket Saving Account,High-CLV Active,Mid-CLV,Low Risk,3,Blatena Saving Account,0.07828
CIF01002461,Customer_2462,Blatena Saving Account,Mid-Value Growth,High-CLV,Critical Risk,1,Ordinary Saving Account,0.25226
CIF01002461,Customer_2462,Blatena Saving Account,Mid-Value Growth,High-CLV,Critical Risk,2,Special Saving Account,0.10218
CIF01002461,Customer_2462,Blatena Saving Account,Mid-Value Growth,High-CLV,Critical Risk,3,Werazut Saving Account,0.0711
CIF01002462,Customer_2463,Tirufat Savings Account,Cross-Sell Ready,High-CLV,Critical Risk,1,Ordinary Saving Account,0.2453
CIF01002462,Customer_2463,Tirufat Savings Account,Cross-Sell Ready,High-CLV,Critical Risk,2,Special Saving Account,0.10745
CIF01002462,Customer_2463,Tirufat Savings Account,Cross-Sell Ready,High-CLV,Critical Risk,3,Blatena Saving Account,0.07747
CIF01002463,Customer_2464,Special Saving Account,Dormant Risk,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.23932
CIF01002463,Customer_2464,Special Saving Account,Dormant Risk,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07858
CIF01002463,Customer_2464,Special Saving Account,Dormant Risk,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.06936
CIF01002464,Customer_2465,Special Saving Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.23652
CIF01002464,Customer_2465,Special Saving Account,Dormant Risk,High-CLV,Critical Risk,2,Blatena Saving Account,0.08082
CIF01002464,Customer_2465,Special Saving Account,Dormant Risk,High-CLV,Critical Risk,3,Werazut Saving Account,0.07216
CIF01002465,Customer_2466,Dekemezmur Saving Account,High-CLV Active,Top-CLV,Low Risk,1,Ordinary Saving Account,0.25682
CIF01002465,Customer_2466,Dekemezmur Saving Account,High-CLV Active,Top-CLV,Low Risk,2,Special Saving Account,0.09839
CIF01002465,Customer_2466,Dekemezmur Saving Account,High-CLV Active,Top-CLV,Low Risk,3,Blatena Saving Account,0.08024
CIF01002466,Customer_2467,Ordinary Saving Account,Low Engagement,High-CLV,Low Risk,1,Special Saving Account,0.10523
CIF01002466,Customer_2467,Ordinary Saving Account,Low Engagement,High-CLV,Low Risk,2,Blatena Saving Account,0.0774
CIF01002466,Customer_2467,Ordinary Saving Account,Low Engagement,High-CLV,Low Risk,3,Werazut Saving Account,0.07567
CIF01002467,Customer_2468,Ordinary Saving Account,High-CLV Active,High-CLV,Critical Risk,1,Special Saving Account,0.10357
CIF01002467,Customer_2468,Ordinary Saving Account,High-CLV Active,High-CLV,Critical Risk,2,Blatena Saving Account,0.07881
CIF01002467,Customer_2468,Ordinary Saving Account,High-CLV Active,High-CLV,Critical Risk,3,Werazut Saving Account,0.06548
CIF01002468,Customer_2469,Prime Customer Deposit Account,Dormant Risk,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24052
CIF01002468,Customer_2469,Prime Customer Deposit Account,Dormant Risk,High-CLV,Critical Risk,2,Special Saving Account,0.097
CIF01002468,Customer_2469,Prime Customer Deposit Account,Dormant Risk,High-CLV,Critical Risk,3,Blatena Saving Account,0.08032
CIF01002469,Customer_2470,Special Saving Account,Mid-Value Growth,Low-CLV,Low Risk,1,Ordinary Saving Account,0.24256
CIF01002469,Customer_2470,Special Saving Account,Mid-Value Growth,Low-CLV,Low Risk,2,Blatena Saving Account,0.07802
CIF01002469,Customer_2470,Special Saving Account,Mid-Value Growth,Low-CLV,Low Risk,3,Werazut Saving Account,0.07077
CIF01002470,Customer_2471,Special Saving Account,High-CLV Active,Top-CLV,Low Risk,1,Ordinary Saving Account,0.26051
CIF01002470,Customer_2471,Special Saving Account,High-CLV Active,Top-CLV,Low Risk,2,Blatena Saving Account,0.07845
CIF01002470,Customer_2471,Special Saving Account,High-CLV Active,Top-CLV,Low Risk,3,Ahati Saving Account,0.06575
CIF01002471,Customer_2472,Abew Saving Account,Mid-Value Growth,High-CLV,Critical Risk,1,Ordinary Saving Account,0.24435
CIF01002471,Customer_2472,Abew Saving Account,Mid-Value Growth,High-CLV,Critical Risk,2,Special Saving Account,0.10635
CIF01002471,Customer_2472,Abew Saving Account,Mid-Value Growth,High-CLV,Critical Risk,3,Blatena Saving Account,0.07855
CIF01002472,Customer_2473,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,1,Special Saving Account,0.10579
CIF01002472,Customer_2473,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07516
CIF01002472,Customer_2473,Ordinary Saving Account,Low Engagement,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.07287
CIF01002473,Customer_2474,Werazut Saving Account,Low Engagement,Low-CLV,Low Risk,1,Ordinary Saving Account,0.23867
CIF01002473,Customer_2474,Werazut Saving Account,Low Engagement,Low-CLV,Low Risk,2,Special Saving Account,0.10761
CIF01002473,Customer_2474,Werazut Saving Account,Low Engagement,Low-CLV,Low Risk,3,Blatena Saving Account,0.07345
CIF01002474,Customer_2475,Special Saving Account,Low Engagement,Mid-CLV,Critical Risk,1,Ordinary Saving Account,0.24749
CIF01002474,Customer_2475,Special Saving Account,Low Engagement,Mid-CLV,Critical Risk,2,Blatena Saving Account,0.07345
CIF01002474,Customer_2475,Special Saving Account,Low Engagement,Mid-CLV,Critical Risk,3,Werazut Saving Account,0.07142
CIF01002475,Customer_2476,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Low Risk,1,Special Saving Account,0.10537
CIF01002475,Customer_2476,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Low Risk,2,Blatena Saving Account,0.07827
CIF01002475,Customer_2476,Ordinary Saving Account,Mid-Value Growth,Top-CLV,Low Risk,3,Werazut Saving Account,0.0675
CIF01002476,Customer_2477,Agape Saving Account,High-CLV Active,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.2566
CIF01002476,Customer_2477,Agape Saving Account,High-CLV Active,Top-CLV,Critical Risk,2,Special Saving Account,0.09799
CIF01002476,Customer_2477,Agape Saving Account,High-CLV Active,Top-CLV,Critical Risk,3,Blatena Saving Account,0.07803
CIF01002477,Customer_2478,Ordinary Saving Account,High-CLV Active,High-CLV,Low Risk,1,Special Saving Account,0.0994
CIF01002477,Customer_2478,Ordinary Saving Account,High-CLV Active,High-CLV,Low Risk,2,Blatena Saving Account,0.07873
CIF01002477,Customer_2478,Ordinary Saving Account,High-CLV Active,High-CLV,Low Risk,3,Werazut Saving Account,0.06601
CIF01002478,Customer_2479,Hiruyan Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,1,Ordinary Saving Account,0.25461
CIF01002478,Customer_2479,Hiruyan Saving Account,Cross-Sell Ready,Top-CLV,Critical Risk,2,Special Saving Account,0.10187
